,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,51.71,80,100,3.0,AU,1661885990
1,Constitución,-35.3333,-72.4167,57.47,71,68,7.9,CL,1661885991
2,Cherskiy,68.75,161.3,34.66,89,23,12.48,RU,1661885991
3,Ushuaia,-54.8,-68.3,49.66,57,75,5.75,AR,1661885992
4,Baní,18.2833,-70.3333,90.84,55,99,12.3,DO,1661885992
5,Río Gallegos,-51.6226,-69.2181,60.85,33,20,12.66,AR,1661885992
6,Cockburn Town,21.4612,-71.1419,87.76,62,40,9.22,TC,1661885993
7,Rikitea,-23.1203,-134.9692,73.78,81,5,10.31,PF,1661885993
8,Hobart,-42.8794,147.3294,52.05,74,40,11.5,AU,1661885993
9,Lata,40.1629,-8.3327,69.82,62,0,6.02,PT,1661885994
10,Nāthdwāra,24.9333,73.8167,77.85,71,27,5.28,IN,1661885994
11,Tasiilaq,65.6145,-37.6368,38.39,97,100,19.91,GL,1661885995
12,Busselton,-33.65,115.3333,50.31,80,32,8.37,AU,1661885995
13,Sulangan,11.1373,123.7228,84.34,68,89,2.42,PH,1661885995
14,Hermanus,-34.4187,19.2345,54.81,64,0,27.34,ZA,1661885996
15,Kazygurt,41.7589,69.3864,69.91,23,0,4.88,KZ,1661885996
16,Prince Rupert,54.3161,-130.3201,60.89,96,75,4.61,CA,1661885997
17,Cape Town,-33.9258,18.4232,58.26,48,0,12.66,ZA,1661885997
18,Puerto Ayora,-0.7393,-90.3518,75.16,86,54,5.99,EC,1661885997
19,Mar del Plata,-38.0023,-57.5575,64.42,57,0,15.99,AR,1661885732
20,Kamenka,51.3223,42.7678,73.56,37,83,7.31,RU,1661885998
21,Smoky Lake,54.1169,-112.4686,82.56,41,0,10.36,CA,1661885998
22,Bethel,41.3712,-73.414,92.05,61,98,1.99,US,1661885965
23,Pisco,-13.7,-76.2167,64.45,68,40,9.22,PE,1661885702
24,Lakselv,70.0513,24.9718,46.22,81,75,4.61,NO,1661885737
25,Tiznit Province,29.5833,-9.5,83.37,45,81,6.13,MA,1661885999
26,Krasnosel'kup,65.7,82.4667,42.69,87,100,21.32,RU,1661885999
27,Ortigueira,-24.2083,-50.9494,67.93,39,5,6.06,BR,1661886000
28,Hambantota,6.1241,81.1185,75.54,100,75,1.14,LK,1661886000
29,Zhangjiakou,40.81,114.8794,57.11,73,0,3.58,CN,1661886001
30,George Town,5.4112,100.3354,78.89,92,40,3.44,MY,1661885827
31,Punta Arenas,-53.15,-70.9167,45.28,77,99,12.1,CL,1661886001
32,Gilbués,-9.8317,-45.3439,94.01,19,7,8.46,BR,1661886002
33,Ahipara,-35.1667,173.1667,51.04,79,95,4.5,NZ,1661886003
34,Dwārka,22.2394,68.9678,79.52,83,7,8.57,IN,1661886003
35,Olden,61.8364,6.8064,59.74,67,0,4.0,NO,1661886004
36,Arraial do Cabo,-22.9661,-42.0278,65.61,57,100,12.01,BR,1661886004
37,Upernavik,72.7868,-56.1549,38.23,79,100,12.26,GL,1661886005
38,Mizque,-17.941,-65.3402,76.8,34,7,12.97,BO,1661886005
39,Kloulklubed,7.0419,134.2556,82.89,70,100,2.28,PW,1661886006
40,Ewo,-0.8725,14.8206,79.68,62,7,2.08,CG,1661886007
41,Chui,-33.6971,-53.4616,57.88,64,0,9.17,UY,1661885883
42,Bubaque,11.2833,-15.8333,79.56,82,100,22.15,GW,1661886007
43,Igrim,63.1906,64.4162,50.67,81,100,5.75,RU,1661886008
44,San Patricio,28.017,-97.5169,89.83,56,100,10.96,US,1661886008
45,Bredasdorp,-34.5322,20.0403,53.46,66,0,18.61,ZA,1661886009
46,Ponta do Sol,32.6667,-17.1,75.7,74,0,6.44,PT,1661886009
47,Dikson,73.5069,80.5464,40.19,95,100,15.99,RU,1661886010
48,East London,-33.0153,27.9116,56.98,54,6,11.21,ZA,1661886007
49,Port Lincoln,-34.7333,135.8667,51.24,63,81,5.97,AU,1661886010
50,Husavik,66.0449,-17.3389,61.3,68,94,19.44,IS,1661885835
51,Tuktoyaktuk,69.4541,-133.0374,48.27,81,20,2.84,CA,1661886011
52,Isangel,-19.55,169.2667,70.75,64,77,13.89,VU,1661886012
53,Henties Bay,-22.116,14.2845,55.81,82,0,4.21,NA,1661886012
